trade_id,isin,instrument_name,counterparty,direction,notional,price,settlement_date,ssi
TRD-2026-00001,US0378331005,Apple Inc,GOLDMAN SACHS INTL,BUY,3720674.97,223.2602,2026-07-30,SSI-EUR-001
TRD-2026-00002,DE0007236101,Siemens AG,GOLDMAN SACHS INTL,BUY,513791.44,213.1085,2026-08-02,SSI-EUR-001
TRD-2026-00003,GB0002374006,Diageo plc,MORGAN STANLEY & CO,SELL,2273584.78,250.8983,2026-07-29,SSI-EUR-002
TRD-2026-00004,US88160R1014,Tesla Inc,GOLDMAN SACHS INTL,SELL,509091.92,100.2746,2026-07-31,SSI-CHF-001
TRD-2026-00005,CH0038863350,Nestle SA,DEUTSCHE BANK AG,SELL,667889.51,785.5052,2026-07-29,SSI-CHF-001
TRD-2026-00006,US88160R1014,Tesla Inc,DEUTSCHE BANK AG,BUY,1001828.52,77.7308,2026-07-30,SSI-USD-001
TRD-2026-00007,US0378331005,Apple Inc,BARCLAYS BANK PLC,SELL,1425969.34,547.6181,2026-07-31,SSI-EUR-002
TRD-2026-00008,DE0005190003,BMW AG,UBS AG LONDON,BUY,4686440.21,557.8694,2026-08-02,SSI-EUR-002
TRD-2026-00009,NL0011821202,ASML Holding,UBS AG LONDON,BUY,1655199.54,657.7003,2026-07-29,SSI-EUR-002
TRD-2026-00010,GB0002374006,Diageo plc,JPMORGAN CHASE BANK NA,BUY,377633.6,777.903,2026-08-02,SSI-USD-001
TRD-2026-00011,GB0002374006,Diageo plc,UBS AG LONDON,SELL,2321316.67,239.8505,2026-07-30,SSI-CHF-001
TRD-2026-00012,GB0002374006,Diageo plc,DEUTSCHE BANK AG,SELL,2027032.5,202.0362,2026-07-30,SSI-CHF-001
TRD-2026-00013,FR0000131104,BNP Paribas,UBS AG LONDON,SELL,841910.91,584.7994,2026-08-02,SSI-EUR-001
TRD-2026-00014,CH0038863350,Nestle SA,DEUTSCHE BANK AG,SELL,1294499.89,479.1775,2026-07-29,SSI-EUR-001
TRD-2026-00015,US88160R1014,Tesla Inc,GOLDMAN SACHS INTL,BUY,1502825.64,151.2709,2026-07-29,SSI-USD-001
TRD-2026-00016,US0378331005,Apple Inc,UBS AG LONDON,BUY,1527301.72,550.3281,2026-08-02,SSI-EUR-002
TRD-2026-00017,FR0000131104,BNP Paribas,DEUTSCHE BANK AG,SELL,4769823.75,785.6203,2026-07-29,SSI-CHF-001
TRD-2026-00018,US0378331005,Apple Inc,JPMORGAN CHASE BANK NA,BUY,4399673.3,710.2824,2026-07-31,SSI-EUR-002
TRD-2026-00019,US0378331005,Apple Inc,UBS AG LONDON,BUY,2455652.79,77.4464,2026-08-02,SSI-EUR-002
TRD-2026-00020,FR0000131104,BNP Paribas,JPMORGAN CHASE BANK NA,BUY,2661985.25,523.473,2026-07-30,SSI-CHF-001
TRD-2026-00021,GB0002374006,Diageo plc,UBS AG LONDON,BUY,3266896.39,383.6231,2026-08-02,SSI-GBP-001
TRD-2026-00022,NL0011821202,ASML Holding,DEUTSCHE BANK AG,BUY,1140076.05,78.9243,2026-07-29,SSI-EUR-002
TRD-2026-00023,US88160R1014,Tesla Inc,GOLDMAN SACHS INTL,BUY,2595072.79,251.1361,2026-08-01,SSI-EUR-002
TRD-2026-00024,CH0038863350,Nestle SA,MORGAN STANLEY & CO,BUY,3933866.15,690.2225,2026-07-30,SSI-EUR-001
TRD-2026-00025,US88160R1014,Tesla Inc,BARCLAYS BANK PLC,BUY,2084956.27,736.9845,2026-07-29,SSI-EUR-001
TRD-2026-00026,US88160R1014,Tesla Inc,GOLDMAN SACHS INTL,SELL,1280848.85,177.8734,2026-08-01,SSI-EUR-002
TRD-2026-00027,US0378331005,Apple Inc,BARCLAYS BANK PLC,BUY,4049710.11,730.4525,2026-07-29,SSI-EUR-001
TRD-2026-00028,NL0011821202,ASML Holding,MORGAN STANLEY & CO,BUY,2061749.59,419.5275,2026-08-01,SSI-EUR-001
TRD-2026-00029,GB0002374006,Diageo plc,JPMORGAN CHASE BANK NA,SELL,4636264.46,671.6574,2026-07-31,SSI-GBP-001
TRD-2026-00030,DE0007236101,Siemens AG,DEUTSCHE BANK AG,BUY,3691899.04,70.5948,2026-07-31,SSI-EUR-001
TRD-2026-00031,FR0000131104,BNP Paribas,GOLDMAN SACHS INTL,BUY,4805855.57,86.4925,2026-07-30,SSI-EUR-001
TRD-2026-00032,NL0011821202,ASML Holding,BARCLAYS BANK PLC,BUY,643438.74,758.9385,2026-07-30,SSI-CHF-001
TRD-2026-00033,GB0002374006,Diageo plc,UBS AG LONDON,SELL,2939177.83,453.9097,2026-07-31,SSI-EUR-002
TRD-2026-00034,DE0005190003,BMW AG,BARCLAYS BANK PLC,SELL,1615077.12,644.0475,2026-07-29,SSI-EUR-001
TRD-2026-00035,US0378331005,Apple Inc,GOLDMAN SACHS INTL,BUY,2711290.3,439.8843,2026-07-30,SSI-USD-001
TRD-2026-00036,US88160R1014,Tesla Inc,JPMORGAN CHASE BANK NA,BUY,830846.82,712.0083,2026-07-31,SSI-CHF-001
TRD-2026-00037,DE0005190003,BMW AG,UBS AG LONDON,BUY,562753.18,748.8454,2026-07-31,SSI-EUR-001
TRD-2026-00038,FR0000131104,BNP Paribas,JPMORGAN CHASE BANK NA,SELL,1444693.54,194.8226,2026-07-31,SSI-EUR-002
TRD-2026-00039,DE0005190003,BMW AG,GOLDMAN SACHS INTL,BUY,506877.42,371.5679,2026-07-31,SSI-EUR-001
TRD-2026-00040,DE0005190003,BMW AG,MORGAN STANLEY & CO,BUY,3719093.0,477.8947,2026-08-01,SSI-CHF-001
TRD-2026-00041,FR0000131104,BNP Paribas,DEUTSCHE BANK AG,SELL,228339.28,326.4493,2026-08-02,SSI-EUR-002
TRD-2026-00042,DE0007236101,Siemens AG,JPMORGAN CHASE BANK NA,SELL,1089878.86,227.1097,2026-07-29,SSI-USD-001
TRD-2026-00043,FR0000131104,BNP Paribas,MORGAN STANLEY & CO,BUY,4329798.2,830.251,2026-07-30,SSI-GBP-001
TRD-2026-00044,NL0011821202,ASML Holding,JPMORGAN CHASE BANK NA,SELL,838029.32,602.0609,2026-08-01,SSI-EUR-001
TRD-2026-00045,DE0005190003,BMW AG,MORGAN STANLEY & CO,SELL,1153471.56,567.8275,2026-08-01,SSI-USD-001
TRD-2026-00046,DE0005190003,BMW AG,JPMORGAN CHASE BANK NA,BUY,3225334.61,351.7331,2026-08-02,SSI-USD-001
TRD-2026-00047,DE0005190003,BMW AG,GOLDMAN SACHS INTL,BUY,586592.61,380.6879,2026-07-31,SSI-GBP-001
TRD-2026-00048,NL0011821202,ASML Holding,JPMORGAN CHASE BANK NA,BUY,269713.34,381.9277,2026-08-02,SSI-CHF-001
TRD-2026-00049,US0378331005,Apple Inc,UBS AG LONDON,SELL,4607815.74,537.219,2026-07-29,SSI-USD-001
TRD-2026-00050,US88160R1014,Tesla Inc,BARCLAYS BANK PLC,SELL,3501181.65,480.1624,2026-07-30,SSI-GBP-001
TRD-2026-00051,FR0000131104,BNP Paribas,DEUTSCHE BANK AG,SELL,2867071.01,357.0424,2026-07-29,SSI-USD-001
TRD-2026-00052,US88160R1014,Tesla Inc,BARCLAYS BANK PLC,BUY,2236840.78,580.7706,2026-08-02,SSI-GBP-001
TRD-2026-00053,DE0005190003,BMW AG,DEUTSCHE BANK AG,SELL,3336076.49,533.9865,2026-07-29,SSI-EUR-002
TRD-2026-00054,DE0007236101,Siemens AG,MORGAN STANLEY & CO,SELL,4920483.31,527.3574,2026-07-29,SSI-GBP-001
TRD-2026-00055,NL0011821202,ASML Holding,UBS AG LONDON,BUY,3496953.54,430.3331,2026-07-30,SSI-EUR-002
TRD-2026-00056,US0378331005,Apple Inc,BARCLAYS BANK PLC,BUY,1133263.63,687.4112,2026-08-02,SSI-GBP-001
TRD-2026-00057,US0378331005,Apple Inc,BARCLAYS BANK PLC,SELL,710028.57,405.6539,2026-08-02,SSI-CHF-001
TRD-2026-00058,CH0038863350,Nestle SA,DEUTSCHE BANK AG,SELL,4084282.21,760.3768,2026-08-01,SSI-CHF-001
TRD-2026-00059,CH0038863350,Nestle SA,BARCLAYS BANK PLC,SELL,1332998.16,225.209,2026-07-31,SSI-CHF-001
TRD-2026-00060,DE0005190003,BMW AG,BARCLAYS BANK PLC,SELL,433542.6,257.1544,2026-07-31,SSI-USD-001
