trade_id,status,counterparty,isin,instrument_name,break_category,severity,severity_rationale
TRD-2026-00001,AFFIRMED,GOLDMAN SACHS INTL,US0378331005,Apple Inc,,,
TRD-2026-00002,AFFIRMED,GOLDMAN SACHS INTL,DE0007236101,Siemens AG,,,
TRD-2026-00003,BREAK,MORGAN STANLEY & CO,GB0002374006,Diageo plc,genuine_repricing,MEDIUM,"Price/notional differs beyond tolerance, suggesting a real economic discrepancy rather than rounding."
TRD-2026-00004,AFFIRMED,GOLDMAN SACHS INTL,US88160R1014,Tesla Inc,,,
TRD-2026-00005,AFFIRMED,DEUTSCHE BANK AG,CH0038863350,Nestle SA,,,
TRD-2026-00006,AFFIRMED,DEUTSCHE BANK AG,US88160R1014,Tesla Inc,,,
TRD-2026-00007,AFFIRMED,BARCLAYS BANK PLC,US0378331005,Apple Inc,,,
TRD-2026-00008,BREAK,UBS AG LONDON,DE0005190003,BMW AG,static_data_error,HIGH,Incorrect settlement/counterparty static data risks misdirected securities or cash.
TRD-2026-00009,AFFIRMED,UBS AG LONDON,NL0011821202,ASML Holding,,,
TRD-2026-00010,AFFIRMED,JPMORGAN CHASE BANK NA,GB0002374006,Diageo plc,,,
TRD-2026-00011,AFFIRMED,UBS AG LONDON,GB0002374006,Diageo plc,,,
TRD-2026-00012,BREAK,DEUTSCHE BANK AG,GB0002374006,Diageo plc,genuine_repricing,MEDIUM,"Price/notional differs beyond tolerance, suggesting a real economic discrepancy rather than rounding."
TRD-2026-00013,AFFIRMED,UBS AG LONDON,FR0000131104,BNP Paribas,,,
TRD-2026-00014,AFFIRMED,DEUTSCHE BANK AG,CH0038863350,Nestle SA,,,
TRD-2026-00015,AFFIRMED,GOLDMAN SACHS INTL,US88160R1014,Tesla Inc,,,
TRD-2026-00016,AFFIRMED,UBS AG LONDON,US0378331005,Apple Inc,,,
TRD-2026-00017,AFFIRMED,DEUTSCHE BANK AG,FR0000131104,BNP Paribas,,,
TRD-2026-00018,BREAK,JPMORGAN CHASE BANK NA,US0378331005,Apple Inc,static_data_error,HIGH,Incorrect settlement/counterparty static data risks misdirected securities or cash.
TRD-2026-00019,AFFIRMED,UBS AG LONDON,US0378331005,Apple Inc,,,
TRD-2026-00020,AFFIRMED,JPMORGAN CHASE BANK NA,FR0000131104,BNP Paribas,,,
TRD-2026-00021,BREAK,UBS AG LONDON,GB0002374006,Diageo plc,genuine_repricing,MEDIUM,"Price/notional differs beyond tolerance, suggesting a real economic discrepancy rather than rounding."
TRD-2026-00022,AFFIRMED,DEUTSCHE BANK AG,NL0011821202,ASML Holding,,,
TRD-2026-00023,AFFIRMED,GOLDMAN SACHS INTL,US88160R1014,Tesla Inc,,,
TRD-2026-00024,AFFIRMED,MORGAN STANLEY & CO,CH0038863350,Nestle SA,,,
TRD-2026-00025,AFFIRMED,BARCLAYS BANK PLC,US88160R1014,Tesla Inc,,,
TRD-2026-00026,BREAK,GOLDMAN SACHS INTL,US88160R1014,Tesla Inc,static_data_error,HIGH,Incorrect settlement/counterparty static data risks misdirected securities or cash.
TRD-2026-00027,AFFIRMED,BARCLAYS BANK PLC,US0378331005,Apple Inc,,,
TRD-2026-00028,AFFIRMED,MORGAN STANLEY & CO,NL0011821202,ASML Holding,,,
TRD-2026-00029,BREAK,JPMORGAN CHASE BANK NA,GB0002374006,Diageo plc,timing_difference,MEDIUM,"Settlement date mismatch of a day or two, likely a T+ convention or calendar difference."
TRD-2026-00030,AFFIRMED,DEUTSCHE BANK AG,DE0007236101,Siemens AG,,,
TRD-2026-00031,AFFIRMED,GOLDMAN SACHS INTL,FR0000131104,BNP Paribas,,,
TRD-2026-00032,AFFIRMED,BARCLAYS BANK PLC,NL0011821202,ASML Holding,,,
TRD-2026-00033,BREAK,UBS AG LONDON,GB0002374006,Diageo plc,static_data_error,HIGH,Incorrect settlement/counterparty static data risks misdirected securities or cash.
TRD-2026-00034,AFFIRMED,BARCLAYS BANK PLC,DE0005190003,BMW AG,,,
TRD-2026-00035,AFFIRMED,GOLDMAN SACHS INTL,US0378331005,Apple Inc,,,
TRD-2026-00036,AFFIRMED,JPMORGAN CHASE BANK NA,US88160R1014,Tesla Inc,,,
TRD-2026-00037,AFFIRMED,UBS AG LONDON,DE0005190003,BMW AG,,,
TRD-2026-00038,AFFIRMED,JPMORGAN CHASE BANK NA,FR0000131104,BNP Paribas,,,
TRD-2026-00039,BREAK,GOLDMAN SACHS INTL,DE0005190003,BMW AG,genuine_repricing,MEDIUM,"Price/notional differs beyond tolerance, suggesting a real economic discrepancy rather than rounding."
TRD-2026-00040,BREAK,MORGAN STANLEY & CO,DE0005190003,BMW AG,missing_confirmation,HIGH,No confirmation received; settlement cannot be affirmed until counterparty responds.
TRD-2026-00041,BREAK,DEUTSCHE BANK AG,FR0000131104,BNP Paribas,timing_difference,MEDIUM,"Settlement date mismatch of a day or two, likely a T+ convention or calendar difference."
TRD-2026-00042,AFFIRMED,JPMORGAN CHASE BANK NA,DE0007236101,Siemens AG,,,
TRD-2026-00043,BREAK,MORGAN STANLEY & CO,FR0000131104,BNP Paribas,timing_difference,MEDIUM,"Settlement date mismatch of a day or two, likely a T+ convention or calendar difference."
TRD-2026-00044,BREAK,JPMORGAN CHASE BANK NA,NL0011821202,ASML Holding,static_data_error,HIGH,Incorrect settlement/counterparty static data risks misdirected securities or cash.
TRD-2026-00045,AFFIRMED,MORGAN STANLEY & CO,DE0005190003,BMW AG,,,
TRD-2026-00046,BREAK,JPMORGAN CHASE BANK NA,DE0005190003,BMW AG,timing_difference,MEDIUM,"Settlement date mismatch of a day or two, likely a T+ convention or calendar difference."
TRD-2026-00047,AFFIRMED,GOLDMAN SACHS INTL,DE0005190003,BMW AG,,,
TRD-2026-00048,AFFIRMED,JPMORGAN CHASE BANK NA,NL0011821202,ASML Holding,,,
TRD-2026-00049,AFFIRMED,UBS AG LONDON,US0378331005,Apple Inc,,,
TRD-2026-00050,AFFIRMED,BARCLAYS BANK PLC,US88160R1014,Tesla Inc,,,
TRD-2026-00051,BREAK,DEUTSCHE BANK AG,FR0000131104,BNP Paribas,static_data_error,HIGH,Incorrect settlement/counterparty static data risks misdirected securities or cash.
TRD-2026-00052,AFFIRMED,BARCLAYS BANK PLC,US88160R1014,Tesla Inc,,,
TRD-2026-00053,BREAK,DEUTSCHE BANK AG,DE0005190003,BMW AG,genuine_repricing,MEDIUM,"Price/notional differs beyond tolerance, suggesting a real economic discrepancy rather than rounding."
TRD-2026-00054,AFFIRMED,MORGAN STANLEY & CO,DE0007236101,Siemens AG,,,
TRD-2026-00055,AFFIRMED,UBS AG LONDON,NL0011821202,ASML Holding,,,
TRD-2026-00056,AFFIRMED,BARCLAYS BANK PLC,US0378331005,Apple Inc,,,
